Yil	ilKodu	ilAdi	Genel	Genel.Erkek	Genel.Kadin	OkurYazarDegil	OkurYazarDegil.Erkek	OkurYazarDegil.Kadin	OkulsuzOkurYazar	OkulsuzOkurYazar.Erkek	OkulsuzOkurYazar.Kadin	Ilkokul	Ilkokul.Erkek	Ilkokul.Kadin	Ilkogretim	Ilkogretim.Erkek	Ilkogretim.Kadin	Ortaokul	Ortaokul.Erkek	Ortaokul.Kadin	Lise	Lise.Erkek	Lise.Kadin	Lisans	Lisans.Erkek	Lisans.Kadin	Yuksek.Lisans	Yuksek.Lisans.Erkek	Yuksek.Lisans.Kadin	Doktora	Doktora.Erkek	Doktora.Kadin	Bilinmeyen	Bilinmeyen.Erkek	Bilinmeyen.Kadin
2019	1	Adana	1667391	825056	842335	64192	9004	55188	74209	19334	54875	313584	126431	187153	151620	91950	59670	344889	189777	155112	424630	233454	191176	256117	134637	121480	23417	13032	10385	4132	2366	1766	10601	5071	5530
2019	2	Adıyaman	443356	222314	221042	31004	4776	26228	18705	6249	12456	73567	30729	42838	45474	24405	21069	103772	58187	45585	103703	59099	44604	60154	34434	25720	4366	3076	1290	790	537	253	1821	822	999
2019	3	  Afyon	561778	276176	285602	15507	1645	13862	23167	4896	18271	153751	58765	94986	58078	32181	25897	111698	62376	49322	121874	72180	49694	66267	37517	28750	6411	3876	2535	1298	859	439	3727	1881	1846
2019	4	  Ağrı	347376	181292	166084	29948	4438	25510	38360	12962	25398	59151	29764	29387	28721	19945	8776	94829	55931	38898	58552	36470	22082	31268	18488	12780	2010	1412	598	370	254	116	4167	1628	2539
2019	5	  Amasya	273043	136970	136073	8627	1386	7241	11871	3101	8770	69740	27878	41862	24334	12562	11772	46453	25160	21293	64889	38534	26355	42010	25302	16708	3295	2140	1155	591	358	233	1233	549	684
2019	6	  Ankara	4331344	2127706	2203638	84912	9541	75371	85410	16669	68741	676819	238992	437827	274256	147826	126430	728500	397339	331161	1240303	666581	573722	1022142	535273	486869	151235	80894	70341	34442	19279	15163	33325	15312	18013
2019	7	  Antalya	1879581	950532	929049	21701	3157	18544	66924	14315	52609	378101	160546	217555	166570	93895	72675	350100	195567	154533	495582	275936	219646	341291	176612	164679	29524	15929	13595	5326	3144	2182	24462	11431	13031
2019	8	  Artvin	142281	71504	70777	4836	647	4189	5871	1178	4693	31145	11103	20042	11008	6492	4516	23010	12849	10161	41353	24982	16371	22603	12860	9743	1542	962	580	373	240	133	540	191	349
2019	9	  Aydın	890381	440249	450132	17587	2646	14941	40149	9721	30428	227849	98640	129209	83520	48273	35247	155199	86815	68384	203490	108709	94781	140359	73503	66856	11780	6509	5271	2326	1382	944	8122	4051	4071
2019	10	  Balıkesir	1013266	503353	509913	21360	3889	17471	40302	11657	28645	281742	113657	168085	83154	46616	36538	162920	90230	72690	238906	134970	103936	161972	89589	72383	12611	7378	5233	2161	1357	804	8138	4010	4128
2019	11	  Bilecik	175414	89539	85875	3295	536	2759	3412	875	2537	44091	16626	27465	16351	8684	7667	29877	16958	12919	48612	29061	19551	26741	15056	11685	1983	1174	809	410	252	158	642	317	325
2019	12	  Bingöl	204669	103385	101284	13780	2435	11345	11284	3516	7768	25201	11279	13922	19832	11131	8701	44546	24134	20412	59493	32181	27312	26921	16338	10583	2093	1506	587	420	311	109	1099	554	545
2019	13	  Bitlis	234327	121045	113282	15196	2272	12924	18085	4718	13367	31230	13651	17579	23084	13391	9693	65111	36332	28779	51019	31384	19635	27625	17518	10107	1795	1274	521	354	246	108	828	259	569
2019	14	  Bolu	252495	123967	128528	7946	1118	6828	8364	2158	6206	60900	24542	36358	22860	11319	11541	37055	20581	16474	69933	39816	30117	39151	20979	18172	4027	2215	1812	1092	678	414	1167	561	606
2019	15	  Burdur	221748	110914	110834	5498	738	4760	8132	1583	6549	61726	25711	36015	19314	10610	8704	35293	20155	15138	52070	29643	22427	34702	19524	15178	3080	1944	1136	722	440	282	1211	566	645
2019	16	  Bursa	2355278	1171027	1184251	58434	7918	50516	60217	14932	45285	484539	184569	299970	240370	131494	108876	445094	241106	203988	615441	353329	262112	386571	203903	182668	33157	18302	14855	5058	3026	2032	26397	12448	13949
2019	17	  Çanakkale	449436	224306	225130	6005	1244	4761	17929	5692	12237	128561	53257	75304	32951	18220	14731	65975	36244	29731	109532	61422	48110	77259	42113	35146	7471	4067	3404	1895	1128	767	1858	919	939
2019	18	  Çankırı	156878	78490	78388	6864	964	5900	6674	1691	4983	41390	16935	24455	14871	7521	7350	27000	15475	11525	37587	22689	14898	19619	11535	8084	1666	1012	654	391	249	142	816	419	397
2019	19	  Çorum	420099	206791	213308	20935	3752	17183	26695	7733	18962	110019	47118	62901	43965	24490	19475	74272	41018	33254	84582	48838	35744	51855	29414	22441	4090	2519	1571	811	520	291	2875	1389	1486
