Yil	ilKodu	ilAdi	Genel	Genel.Erkek	Genel.Kadin	OkurYazarDegil	OkurYazarDegil.Erkek	OkurYazarDegil.Kadin	OkulsuzOkurYazar	OkulsuzOkurYazar.Erkek	OkulsuzOkurYazar.Kadin	Ilkokul	Ilkokul.Erkek	Ilkokul.Kadin	Ilkogretim	Ilkogretim.Erkek	Ilkogretim.Kadin	Ortaokul	Ortaokul.Erkek	Ortaokul.Kadin	Lise	Lise.Erkek	Lise.Kadin	Lisans	Lisans.Erkek	Lisans.Kadin	Yuksek.Lisans	Yuksek.Lisans.Erkek	Yuksek.Lisans.Kadin	Doktora	Doktora.Erkek	Doktora.Kadin	Bilinmeyen	Bilinmeyen.Erkek	Bilinmeyen.Kadin
2008	NA	Türkiye-Turkey	52636605	26215204	26421401	4863414	966698	3896716	3452624	1401040	2051584	18078358	8800944	9277414	5679485	3026685	2652800	2795749	1791178	1004571	9970816	5749685	4221131	3508954	2110229	1398725	247544	149807	97737	73244	47029	26215	3966417	2171909	1794508
2008	14	  Bolu	214072	106009	108063	14914	2861	12053	13398	5103	8295	87766	39558	48208	20341	10777	9564	9630	6832	2798	43246	26209	17037	13735	8647	5088	647	393	254	296	192	104	10099	5437	4662
2008	18	  Çankırı	138185	68564	69621	15267	3259	12008	9402	3713	5689	53364	24392	28972	15553	8261	7292	7722	5667	2055	22602	14523	8079	6706	4572	2134	392	263	129	52	34	18	7125	3880	3245
2008	37	  Kastamonu	288735	140216	148519	44038	9624	34414	20452	8551	11901	115747	55864	59883	29453	14832	14621	12674	9767	2907	40737	25770	14967	13165	8667	4498	568	362	206	131	87	44	11770	6692	5078
2008	57	  Sinop	159039	77555	81484	21226	5296	15930	13674	6007	7667	62274	30600	31674	17762	8950	8812	6344	4470	1874	21055	12205	8850	8493	5363	3130	235	155	80	55	38	17	7921	4471	3450
2008	67	  Zonguldak	486445	237176	249269	47668	7391	40277	27624	9219	18405	190610	92138	98472	52454	26546	25908	25243	17223	8020	90536	54118	36418	26685	16209	10476	1305	805	500	317	216	101	24003	13311	10692
2008	74	  Bartın	146894	70928	75966	17733	3694	14039	11043	4221	6822	61625	30165	31460	16153	7997	8156	5216	3668	1548	19182	11759	7423	6714	4276	2438	313	212	101	61	40	21	8854	4896	3958
2008	78	  Karabük	172017	83897	88120	17046	3213	13833	11042	3588	7454	66114	30530	35584	17239	8817	8422	10360	7337	3023	31844	19186	12658	10842	7047	3795	384	259	125	120	95	25	7026	3825	3201
2008	81	  Düzce	247571	122397	125174	18971	3368	15603	18243	6175	12068	103245	50659	52586	26346	13242	13104	10877	7419	3458	42423	25470	16953	11928	7735	4193	605	372	233	184	126	58	14749	7831	6918
2019	NA	Türkiye-Turkey	62689647	31228240	31461407	2024637	286412	1738225	2624133	653754	1970379	12513837	5081441	7432396	5678694	3240303	2438391	12327461	6840475	5486986	15426019	8685165	6740854	10257791	5455508	4802283	1083331	605912	477419	211581	124960	86621	542163	254310	287853
2019	14	  Bolu	252495	123967	128528	7946	1118	6828	8364	2158	6206	60900	24542	36358	22860	11319	11541	37055	20581	16474	69933	39816	30117	39151	20979	18172	4027	2215	1812	1092	678	414	1167	561	606
2019	18	  Çankırı	156878	78490	78388	6864	964	5900	6674	1691	4983	41390	16935	24455	14871	7521	7350	27000	15475	11525	37587	22689	14898	19619	11535	8084	1666	1012	654	391	249	142	816	419	397
2019	37	  Kastamonu	312956	154410	158546	17375	2774	14601	19538	4862	14676	90078	39718	50360	28484	15551	12933	48599	27586	21013	65640	39558	26082	38049	21414	16635	3258	1930	1328	747	464	283	1188	553	635
2019	57	  Sinop	180007	89300	90707	7703	1428	6275	10699	3121	7578	51930	23154	28776	18953	10548	8405	29218	16685	12533	34752	19480	15272	22996	12827	10169	1643	954	689	470	271	199	1643	832	811
2019	67	  Zonguldak	486782	239710	247072	26418	2963	23455	18797	3781	15016	120072	49313	70759	49892	30348	19544	77824	42726	35098	121267	72073	49194	63295	33699	29596	5292	2873	2419	1115	642	473	2810	1292	1518
2019	74	  Bartın	164330	80413	83917	7079	1368	5711	10491	2133	8358	39888	17491	22397	21449	12630	8819	27268	14320	12948	35724	20079	15645	19156	10543	8613	1628	980	648	410	270	140	1237	599	638
2019	78	  Karabük	200335	98308	102027	9271	1233	8038	7115	1566	5549	42918	17660	25258	18379	9613	8766	30010	16734	13276	55465	31541	23924	33110	17612	15498	2771	1589	1182	742	530	212	554	230	324
2019	81	  Düzce	306298	152446	153852	9434	1237	8197	12216	2570	9646	65945	26620	39325	35100	20085	15015	53776	28975	24801	79532	46050	33482	43570	23184	20386	3828	2167	1661	906	591	315	1991	967	1024
