Yil	ilKodu	ilAdi	Genel	Genel.Erkek	Genel.Kadin	OkurYazarDegil	OkurYazarDegil.Erkek	OkurYazarDegil.Kadin	OkulsuzOkurYazar	OkulsuzOkurYazar.Erkek	OkulsuzOkurYazar.Kadin	Ilkokul	Ilkokul.Erkek	Ilkokul.Kadin	Ilkogretim	Ilkogretim.Erkek	Ilkogretim.Kadin	Ortaokul	Ortaokul.Erkek	Ortaokul.Kadin	Lise	Lise.Erkek	Lise.Kadin	Lisans	Lisans.Erkek	Lisans.Kadin	Yuksek.Lisans	Yuksek.Lisans.Erkek	Yuksek.Lisans.Kadin	Doktora	Doktora.Erkek	Doktora.Kadin	Bilinmeyen	Bilinmeyen.Erkek	Bilinmeyen.Kadin
2008	14	  Bolu	214072	106009	108063	14914	2861	12053	13398	5103	8295	87766	39558	48208	20341	10777	9564	9630	6832	2798	43246	26209	17037	13735	8647	5088	647	393	254	296	192	104	10099	5437	4662
2008	18	  Çankırı	138185	68564	69621	15267	3259	12008	9402	3713	5689	53364	24392	28972	15553	8261	7292	7722	5667	2055	22602	14523	8079	6706	4572	2134	392	263	129	52	34	18	7125	3880	3245
2008	37	  Kastamonu	288735	140216	148519	44038	9624	34414	20452	8551	11901	115747	55864	59883	29453	14832	14621	12674	9767	2907	40737	25770	14967	13165	8667	4498	568	362	206	131	87	44	11770	6692	5078
2008	57	  Sinop	159039	77555	81484	21226	5296	15930	13674	6007	7667	62274	30600	31674	17762	8950	8812	6344	4470	1874	21055	12205	8850	8493	5363	3130	235	155	80	55	38	17	7921	4471	3450
2008	67	  Zonguldak	486445	237176	249269	47668	7391	40277	27624	9219	18405	190610	92138	98472	52454	26546	25908	25243	17223	8020	90536	54118	36418	26685	16209	10476	1305	805	500	317	216	101	24003	13311	10692
2008	74	  Bartın	146894	70928	75966	17733	3694	14039	11043	4221	6822	61625	30165	31460	16153	7997	8156	5216	3668	1548	19182	11759	7423	6714	4276	2438	313	212	101	61	40	21	8854	4896	3958
2008	78	  Karabük	172017	83897	88120	17046	3213	13833	11042	3588	7454	66114	30530	35584	17239	8817	8422	10360	7337	3023	31844	19186	12658	10842	7047	3795	384	259	125	120	95	25	7026	3825	3201
2008	81	  Düzce	247571	122397	125174	18971	3368	15603	18243	6175	12068	103245	50659	52586	26346	13242	13104	10877	7419	3458	42423	25470	16953	11928	7735	4193	605	372	233	184	126	58	14749	7831	6918
2009	14	  Bolu	217182	107484	109698	14393	2699	11694	12526	4555	7971	88521	39720	48801	20998	11150	9848	9555	6769	2786	45683	27635	18048	17467	10447	7020	688	419	269	403	257	146	6948	3833	3115
2009	18	  Çankırı	146050	72770	73280	15049	3110	11939	9130	3475	5655	56967	26152	30815	16371	8555	7816	8283	6070	2213	25380	16132	9248	8532	5682	2850	454	287	167	109	77	32	5775	3230	2545
2009	37	  Kastamonu	289287	141150	148137	41793	8993	32800	19371	7953	11418	116305	55845	60460	30571	15448	15123	12512	9619	2893	42105	26996	15109	16639	10334	6305	613	390	223	164	118	46	9214	5454	3760
